,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
55,Sara Lee Honey Wheat Bread,$2.99 ,,20 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/QQC62.jpg,Bread_Bakery,Packaged_Bread
56,Nature's Own Bread Honey Wheat,$3.49 ,,20 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/B10NW.jpg,Bread_Bakery,Packaged_Bread
57,Stop & Shop Bread Wheat Split Top,$1.99 ,,20 oz pkg, | $0.10 / oz,./Bread_Bakery_Packaged_Bread_files/GXS55.jpg,Bread_Bakery,Packaged_Bread
58,Freihofer's Bread 100% Whole Wheat,$3.49 ,,24 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/QXG1L.jpg,Bread_Bakery,Packaged_Bread
59,Arnold Whole Grains Oatnut Bread,$4.69 ,,24 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/1U9RQ.jpg,Bread_Bakery,Packaged_Bread
60,Stop & Shop Big Daisy Bread White,$1.29 ,,20 oz pkg, | $0.06 / oz,./Bread_Bakery_Packaged_Bread_files/CDDF6.jpg,Bread_Bakery,Packaged_Bread
61,Pepperidge Farm Farmhouse Bread Oatmeal,$3.99 ,,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/1LDGN.jpg,Bread_Bakery,Packaged_Bread
62,Nature's Promise Naturals Bread Whole Wheat,$2.99 ,,24 oz pkg, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/QHQXU.jpg,Bread_Bakery,Packaged_Bread
63,Stop & Shop Bread Cinnamon Raisin,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/E29QQ.jpg,Bread_Bakery,Packaged_Bread
64,Pepperidge Farm Bread Italian with Sesame Seeds Sliced,,$2.50 ,20 oz pkg, | $0.13 / oz,./Bread_Bakery_Packaged_Bread_files/8Q0S5.jpg,Bread_Bakery,Packaged_Bread
65,Arnold Whole Grains Bread 12 Grain,$4.69 ,,24 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/JWAY8.jpg,Bread_Bakery,Packaged_Bread
66,Nature's Own Bread Butterbread,$3.49 ,,20 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/7XJ7J.jpg,Bread_Bakery,Packaged_Bread
67,Sara Lee Artesano Bakery Bread,$2.99 ,,20 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/JFGMN.jpg,Bread_Bakery,Packaged_Bread
68,Pepperidge Farm Farmhouse Bread 100% Whole Wheat,$3.99 ,,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/EGXWK.jpg,Bread_Bakery,Packaged_Bread
69,Arnold Whole Grains Bread Healthy Multigrain,$4.69 ,,24 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/EJJAD.jpg,Bread_Bakery,Packaged_Bread
70,Pepperidge Farm Jewish Rye & Pumpernickel Deli Swirl Bread,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/SU3AT.jpg,Bread_Bakery,Packaged_Bread
71,Thomas' Toast R Cakes Corn Muffins - 6 ct,$4.29 ,,7 oz pkg, | $0.61 / oz,./Bread_Bakery_Packaged_Bread_files/NYL4N.jpg,Bread_Bakery,Packaged_Bread
72,Dave's Killer Bread 21 Whole Grains & Seeds Organic,$5.89 ,,27 oz pkg, | $0.22 / oz,./Bread_Bakery_Packaged_Bread_files/HEOD0.jpg,Bread_Bakery,Packaged_Bread
73,Nature's Own Bread 100% Whole Wheat,$3.49 ,,20 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/C86IU.jpg,Bread_Bakery,Packaged_Bread
74,Stop & Shop Sandwich Bread White,$1.79 ,,20 oz pkg, | $0.09 / oz,./Bread_Bakery_Packaged_Bread_files/2HE9W.jpg,Bread_Bakery,Packaged_Bread
